pos,joint,obb_center_x,obb_center_y,obb_center_z,obb_axis_x1,obb_axis_y1,obb_axis_z1,obb_axis_x2,obb_axis_y2,obb_axis_z2,obb_axis_x3,obb_axis_y3,obb_axis_z3,obb_half_length_x,obb_half_length_y,obb_half_length_z
0,0,0.2983,-0.0077,0.4400,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
0,1,0.3064,-0.0047,0.6052,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
0,2,0.3824,-0.0649,0.5173,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
0,3,0.4051,-0.2416,0.5889,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
0,4,0.5233,-0.2878,0.5062,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
0,5,0.6907,-0.1507,0.6614,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
0,6,0.7836,-0.1310,0.4265,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
0,7,0.8925,-0.1224,0.4491,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
0,8,0.9198,-0.0792,0.4472,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
0,9,0.9500,-0.0128,0.4544,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
0,10,0.9940,-0.0726,0.4546,1.0000,0.0019,0.0000,-0.0019,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
1,0,0.6440,-0.0067,0.4400,1.0000,0.0038,0.0000,-0.0038,1.0000,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
1,1,0.6521,-0.0038,0.6052,1.0000,0.0038,0.0000,-0.0038,1.0000,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
1,2,0.7282,-0.0638,0.5173,1.0000,0.0038,0.0000,-0.0038,1.0000,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
1,3,0.7513,-0.2404,0.5889,1.0000,0.0038,0.0000,-0.0038,1.0000,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
1,4,0.8696,-0.2865,0.5062,1.0000,0.0038,0.0000,-0.0038,1.0000,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
1,5,1.0366,-0.1490,0.6614,1.0000,0.0038,0.0000,-0.0038,1.0000,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
1,6,1.1296,-0.1292,0.4265,1.0000,0.0038,0.0000,-0.0038,1.0000,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
