center_x,center_y,center_z,half_length_x,half_length_y,half_length_z
0.824427,-0.700851,0.619039,0.1,0.1,0.1
0.863988,0.364437,0.258951,0.1,0.1,0.1
0.778422,-0.403748,0.140695,0.1,0.1,0.1
0.875239,-0.627852,0.430522,0.1,0.1,0.1
0.638978,-0.702954,0.649163,0.1,0.1,0.1
0.759499,-0.701588,0.169324,0.1,0.1,0.1
0.865559,0.225813,0.103284,0.1,0.1,0.1
0.831089,0.727040,0.244406,0.1,0.1,0.1
0.860968,-0.391188,0.466133,0.1,0.1,0.1
0.765347,-0.701521,0.539628,0.1,0.1,0.1
0.740857,0.152042,0.466133,0.1,0.1,0.1
0.771556,-0.285067,0.485603,0.1,0.1,0.1
0.855708,-0.622627,0.387104,0.1,0.1,0.1
0.671632,0.550149,0.140695,0.1,0.1,0.1
0.841606,0.621074,0.331461,0.1,0.1,0.1
0.834012,-0.019452,0.724460,0.1,0.1,0.1
0.622474,0.707066,0.174731,0.1,0.1,0.1
0.844063,0.404430,0.468148,0.1,0.1,0.1
0.822060,-0.405268,0.485603,0.1,0.1,0.1
0.666962,0.137881,0.743930,0.1,0.1,0.1
0.780872,-0.668815,0.724460,0.1,0.1,0.1
0.680193,-0.034821,0.485603,0.1,0.1,0.1
0.845121,0.311076,0.194375,0.1,0.1,0.1
0.870109,-0.175462,0.548216,0.1,0.1,0.1
0.805656,0.707280,0.716307,0.1,0.1,0.1
0.796013,0.189992,0.485603,0.1,0.1,0.1
0.860305,0.689227,0.485767,0.1,0.1,0.1
0.764134,-0.682064,0.134653,0.1,0.1,0.1
0.653813,-0.585568,0.140695,0.1,0.1,0.1
0.676092,-0.483787,0.724460,0.1,0.1,0.1
0.853875,-0.460921,0.062310,0.1,0.1,0.1
0.661179,-0.683231,0.355006,0.1,0.1,0.1
0.679935,-0.253049,0.121225,0.1,0.1,0.1
0.866199,-0.689211,0.715939,0.1,0.1,0.1
0.848359,0.025571,0.253840,0.1,0.1,0.1
0.783799,-0.115386,0.485603,0.1,0.1,0.1
0.748498,0.017592,0.121225,0.1,0.1,0.1
0.854800,-0.542490,0.563154,0.1,0.1,0.1
0.856907,-0.690748,0.407426,0.1,0.1,0.1
0.843399,0.463022,0.341784,0.1,0.1,0.1
0.866726,0.122898,0.298750,0.1,0.1,0.1
0.781740,-0.106102,0.743930,0.1,0.1,0.1
0.845845,0.247236,0.074886,0.1,0.1,0.1
0.860746,0.650341,0.496284,0.1,0.1,0.1
0.699943,0.725553,0.617648,0.1,0.1,0.1
0.825412,0.553762,0.724460,0.1,0.1,0.1
0.842705,0.524206,0.137967,0.1,0.1,0.1
0.802815,0.136060,0.121225,0.1,0.1,0.1
0.875361,-0.638655,0.669325,0.1,0.1,0.1
0.791732,-0.681751,0.696830,0.1,0.1,0.1
0.782831,-0.187511,0.743930,0.1,0.1,0.1
0.867868,0.022235,0.537222,0.1,0.1,0.1
0.836130,0.647107,0.724460,0.1,0.1,0.1
0.708996,-0.394000,0.466133,0.1,0.1,0.1
0.827828,-0.538037,0.724460,0.1,0.1,0.1
0.861266,0.604428,0.646916,0.1,0.1,0.1
0.814730,-0.031942,0.485603,0.1,0.1,0.1
0.663700,0.532320,0.724460,0.1,0.1,0.1
0.841723,0.610776,0.596068,0.1,0.1,0.1
0.853302,-0.410378,0.073496,0.1,0.1,0.1
0.847331,0.116229,0.328006,0.1,0.1,0.1
0.860985,0.629225,0.055499,0.1,0.1,0.1
0.649127,-0.493758,0.466133,0.1,0.1,0.1
0.784416,-0.017243,0.140695,0.1,0.1,0.1
0.855432,0.260335,0.741373,0.1,0.1,0.1
0.717630,-0.287995,0.743930,0.1,0.1,0.1
0.744791,-0.607688,0.121225,0.1,0.1,0.1
0.858709,-0.368742,0.000000,0.1,0.1,0.1
0.850214,0.720602,0.648001,0.1,0.1,0.1
0.769959,-0.266383,0.140695,0.1,0.1,0.1
0.845030,0.319145,0.319153,0.1,0.1,0.1
0.860877,-0.219859,0.122358,0.1,0.1,0.1
0.767531,-0.682172,0.466133,0.1,0.1,0.1
0.842893,0.507638,0.186530,0.1,0.1,0.1
0.800865,0.501946,0.485603,0.1,0.1,0.1
0.742096,0.648069,0.140695,0.1,0.1,0.1
0.846387,0.436708,0.140695,0.1,0.1,0.1
0.867147,0.085825,0.097239,0.1,0.1,0.1
0.870823,-0.238421,0.718724,0.1,0.1,0.1
0.865366,0.242887,0.235795,0.1,0.1,0.1
0.738909,-0.683279,0.743930,0.1,0.1,0.1
0.780422,0.726465,0.721359,0.1,0.1,0.1
0.746254,-0.137048,0.121225,0.1,0.1,0.1
0.734034,-0.682405,0.607593,0.1,0.1,0.1
0.734210,0.107814,0.121225,0.1,0.1,0.1
0.869580,-0.128795,0.476549,0.1,0.1,0.1
0.847402,0.109951,0.431072,0.1,0.1,0.1
0.844172,0.394782,0.583385,0.1,0.1,0.1
0.636266,-0.509343,0.467031,0.1,0.1,0.1
0.851264,-0.230630,0.084173,0.1,0.1,0.1
0.864016,0.361956,0.324386,0.1,0.1,0.1
0.690698,0.341001,0.485603,0.1,0.1,0.1
0.712027,0.066371,0.140695,0.1,0.1,0.1
0.874161,-0.532797,0.258455,0.1,0.1,0.1
0.849866,-0.107391,0.453419,0.1,0.1,0.1
0.856173,-0.663635,0.445931,0.1,0.1,0.1
0.697874,0.725529,0.261231,0.1,0.1,0.1
0.829810,-0.681319,0.532351,0.1,0.1,0.1
0.684219,0.705903,0.605914,0.1,0.1,0.1
0.757736,0.579178,0.121225,0.1,0.1,0.1
0.821927,0.241518,0.140695,0.1,0.1,0.1
0.807074,-0.372411,0.485603,0.1,0.1,0.1
0.866946,0.103567,0.201855,0.1,0.1,0.1
0.773062,0.011974,0.657290,0.1,0.1,0.1
0.832951,0.727061,0.220251,0.1,0.1,0.1
0.769846,0.011937,0.581242,0.1,0.1,0.1
0.850261,-0.142206,0.470815,0.1,0.1,0.1
0.714072,0.092118,0.466133,0.1,0.1,0.1
0.823263,-0.079106,0.743930,0.1,0.1,0.1
0.853414,-0.420266,0.423804,0.1,0.1,0.1
0.675176,-0.516851,0.724460,0.1,0.1,0.1
0.756113,0.726190,0.504499,0.1,0.1,0.1
0.652731,-0.157355,0.743930,0.1,0.1,0.1
0.768447,-0.415964,0.485603,0.1,0.1,0.1
0.653537,0.175215,0.485603,0.1,0.1,0.1
0.864694,0.302179,0.240077,0.1,0.1,0.1
0.853888,-0.462075,0.134059,0.1,0.1,0.1
0.689591,-0.088346,0.466133,0.1,0.1,0.1
0.810215,0.031866,0.275718,0.1,0.1,0.1
0.660941,0.725111,0.283465,0.1,0.1,0.1
0.783681,0.626755,0.743930,0.1,0.1,0.1
0.857969,0.036591,0.732519,0.1,0.1,0.1
0.829195,-0.039152,0.485603,0.1,0.1,0.1
0.856283,0.185302,0.475188,0.1,0.1,0.1
0.659983,0.576268,0.140695,0.1,0.1,0.1
0.711851,0.006974,0.485603,0.1,0.1,0.1
0.873532,-0.477304,0.007655,0.1,0.1,0.1
0.875745,-0.672533,0.087938,0.1,0.1,0.1
0.874746,-0.584429,0.304200,0.1,0.1,0.1
0.847832,0.072015,0.664827,0.1,0.1,0.1
0.875236,-0.627613,0.647544,0.1,0.1,0.1
0.728103,0.725872,0.715875,0.1,0.1,0.1
0.801877,0.707237,0.330804,0.1,0.1,0.1
0.654752,0.705569,0.142859,0.1,0.1,0.1
0.710769,0.030739,0.615992,0.1,0.1,0.1
0.866990,0.099617,0.384806,0.1,0.1,0.1
0.860080,0.709065,0.419644,0.1,0.1,0.1
0.650823,-0.050011,0.724460,0.1,0.1,0.1
0.641492,-0.320750,0.724460,0.1,0.1,0.1
0.690090,0.011033,0.246471,0.1,0.1,0.1
0.685033,-0.463119,0.121225,0.1,0.1,0.1
0.850845,-0.193711,0.328883,0.1,0.1,0.1
0.854829,-0.545048,0.179248,0.1,0.1,0.1
0.745956,0.510890,0.121225,0.1,0.1,0.1
0.847119,0.134906,0.497197,0.1,0.1,0.1
0.656197,0.030120,0.477607,0.1,0.1,0.1
0.659838,0.010690,0.465038,0.1,0.1,0.1
0.652493,0.725015,0.553176,0.1,0.1,0.1
0.853278,-0.408266,0.392790,0.1,0.1,0.1
0.794531,0.031689,0.562021,0.1,0.1,0.1
0.636440,-0.033040,0.140695,0.1,0.1,0.1
0.654638,-0.285834,0.466133,0.1,0.1,0.1
0.786448,0.726534,0.597591,0.1,0.1,0.1
0.722819,0.473659,0.743930,0.1,0.1,0.1
0.845042,0.318066,0.331782,0.1,0.1,0.1
0.837698,0.727115,0.225551,0.1,0.1,0.1
0.643619,-0.363700,0.724460,0.1,0.1,0.1
0.854748,-0.537961,0.283182,0.1,0.1,0.1
0.731715,-0.690677,0.743930,0.1,0.1,0.1
0.726182,0.544647,0.140695,0.1,0.1,0.1
0.638430,-0.700133,0.669381,0.1,0.1,0.1
0.655341,-0.683297,0.576464,0.1,0.1,0.1
0.815675,0.707394,0.204601,0.1,0.1,0.1
0.846947,0.150051,0.166482,0.1,0.1,0.1
0.802730,0.716983,0.139897,0.1,0.1,0.1
0.869531,-0.124452,0.117967,0.1,0.1,0.1
0.847642,0.088776,0.105036,0.1,0.1,0.1
0.869678,-0.137407,0.163133,0.1,0.1,0.1
0.791189,0.007752,0.121225,0.1,0.1,0.1
0.760785,0.112397,0.724460,0.1,0.1,0.1
0.845439,0.727203,0.129136,0.1,0.1,0.1
0.850785,0.670177,0.128365,0.1,0.1,0.1
0.843380,0.464660,0.555993,0.1,0.1,0.1
0.844300,0.383517,0.593962,0.1,0.1,0.1
0.850275,0.715200,0.575795,0.1,0.1,0.1
0.822951,-0.176739,0.485603,0.1,0.1,0.1
0.870763,-0.233126,0.515702,0.1,0.1,0.1
0.775221,-0.131610,0.743930,0.1,0.1,0.1
0.638961,0.245286,0.140695,0.1,0.1,0.1
0.770994,-0.681986,0.521031,0.1,0.1,0.1
0.688312,0.515175,0.485603,0.1,0.1,0.1
0.692085,0.179223,0.121225,0.1,0.1,0.1
0.715999,0.711433,0.743930,0.1,0.1,0.1
0.862562,0.490162,0.485074,0.1,0.1,0.1
0.848383,0.023418,0.197216,0.1,0.1,0.1
0.826685,-0.700826,0.427043,0.1,0.1,0.1
0.850331,0.316860,0.743930,0.1,0.1,0.1
0.864254,0.340982,0.378614,0.1,0.1,0.1
0.649271,-0.021544,0.121225,0.1,0.1,0.1
0.758947,0.389176,0.466133,0.1,0.1,0.1
0.657632,0.030136,0.457736,0.1,0.1,0.1
0.840976,0.676691,0.194513,0.1,0.1,0.1
0.844856,0.334452,0.449632,0.1,0.1,0.1
0.863073,-0.669585,0.734195,0.1,0.1,0.1
0.687669,0.725414,0.323405,0.1,0.1,0.1
0.819507,-0.604732,0.121225,0.1,0.1,0.1
0.862941,0.456727,0.235358,0.1,0.1,0.1
0.871228,-0.274093,0.659173,0.1,0.1,0.1
0.842317,-0.404234,0.485603,0.1,0.1,0.1
0.693515,0.661543,0.485603,0.1,0.1,0.1
0.840660,0.704589,0.682481,0.1,0.1,0.1
0.665399,0.300331,0.466133,0.1,0.1,0.1
0.843681,0.438140,0.064914,0.1,0.1,0.1
0.872369,-0.374733,0.564434,0.1,0.1,0.1
0.842916,0.505626,0.612745,0.1,0.1,0.1
0.833163,0.474316,0.724460,0.1,0.1,0.1
0.708846,-0.682691,0.582905,0.1,0.1,0.1
0.860563,-0.192126,0.732569,0.1,0.1,0.1
0.854164,-0.486411,0.629422,0.1,0.1,0.1
0.850889,-0.197560,0.121948,0.1,0.1,0.1
0.722020,0.236235,0.121225,0.1,0.1,0.1
0.630997,-0.044573,0.134150,0.1,0.1,0.1
0.840012,0.679021,0.140695,0.1,0.1,0.1
0.862128,0.528477,0.687971,0.1,0.1,0.1
0.687574,0.705941,0.697863,0.1,0.1,0.1
0.765107,-0.547893,0.121225,0.1,0.1,0.1
0.644727,0.692377,0.140695,0.1,0.1,0.1
0.869395,-0.112438,0.518355,0.1,0.1,0.1
0.860261,0.693107,0.526861,0.1,0.1,0.1
0.845226,0.085118,0.485603,0.1,0.1,0.1
0.855100,-0.569016,0.486485,0.1,0.1,0.1
0.855934,-0.642498,0.477562,0.1,0.1,0.1
0.644917,-0.702887,0.133803,0.1,0.1,0.1
0.737088,-0.563676,0.466133,0.1,0.1,0.1
0.688250,0.725420,0.271063,0.1,0.1,0.1
0.866177,-0.687256,0.484184,0.1,0.1,0.1
0.733042,0.666205,0.485603,0.1,0.1,0.1
0.841967,0.589237,0.644173,0.1,0.1,0.1
0.829345,-0.700796,0.597736,0.1,0.1,0.1
0.741456,-0.442807,0.121225,0.1,0.1,0.1
0.692071,0.355147,0.121225,0.1,0.1,0.1
0.664468,-0.683194,0.343721,0.1,0.1,0.1
0.872838,-0.416145,0.284633,0.1,0.1,0.1
0.827603,0.536169,0.724460,0.1,0.1,0.1
0.729777,0.716156,0.478383,0.1,0.1,0.1
0.841491,0.631261,0.292826,0.1,0.1,0.1
0.664156,0.025368,0.466133,0.1,0.1,0.1
0.799683,0.473336,0.140695,0.1,0.1,0.1
0.690405,0.030508,0.443948,0.1,0.1,0.1
0.842833,0.266113,0.466133,0.1,0.1,0.1
0.853098,-0.392419,0.286136,0.1,0.1,0.1
0.848197,0.039842,0.423348,0.1,0.1,0.1
0.719228,-0.611466,0.466133,0.1,0.1,0.1
0.853100,-0.690791,0.482766,0.1,0.1,0.1
0.785094,0.692247,0.743930,0.1,0.1,0.1
0.784661,0.360793,0.743930,0.1,0.1,0.1
0.845250,0.717465,0.643563,0.1,0.1,0.1
0.872948,-0.425819,0.614008,0.1,0.1,0.1
0.648305,-0.086090,0.140695,0.1,0.1,0.1
0.748491,-0.380498,0.485603,0.1,0.1,0.1
0.677111,-0.683051,0.395130,0.1,0.1,0.1
0.861512,0.582745,0.130103,0.1,0.1,0.1
0.868101,0.001694,0.330309,0.1,0.1,0.1
0.850720,-0.182723,0.186992,0.1,0.1,0.1
0.744995,-0.259051,0.466133,0.1,0.1,0.1
0.870061,-0.171206,0.452083,0.1,0.1,0.1
0.860048,0.711904,0.724403,0.1,0.1,0.1
0.772911,0.424692,0.724460,0.1,0.1,0.1
0.634772,-0.377547,0.130458,0.1,0.1,0.1
0.777096,0.726428,0.537219,0.1,0.1,0.1
0.862480,0.497444,0.363950,0.1,0.1,0.1
0.712150,0.706220,0.314455,0.1,0.1,0.1
0.633816,0.251032,0.466133,0.1,0.1,0.1
0.829094,-0.699198,0.743930,0.1,0.1,0.1
0.869029,-0.080155,0.017450,0.1,0.1,0.1
0.867816,0.026834,0.503977,0.1,0.1,0.1
0.798751,-0.681671,0.135282,0.1,0.1,0.1
0.729257,0.706414,0.379750,0.1,0.1,0.1
0.765131,0.152662,0.724460,0.1,0.1,0.1
0.634882,-0.301536,0.140695,0.1,0.1,0.1
0.747614,-0.529051,0.743930,0.1,0.1,0.1
