center_x,center_y,center_z,half_length_x,half_length_y,half_length_z
0.738277,-0.357500,0.401307,0.1,0.1,0.1
0.723075,-0.198162,0.784615,0.1,0.1,0.1
0.745714,-0.594273,0.582352,0.1,0.1,0.1
0.640313,-0.096248,0.784615,0.1,0.1,0.1
0.209587,-0.378074,0.114393,0.1,0.1,0.1
0.370679,0.213333,0.387307,0.1,0.1,0.1
0.326987,0.061055,0.152493,0.1,0.1,0.1
0.950462,0.399075,0.549234,0.1,0.1,0.1
0.627288,-0.010930,0.397307,0.1,0.1,0.1
0.603374,0.003829,0.531948,0.1,0.1,0.1
0.768065,-0.597565,0.416762,0.1,0.1,0.1
0.506468,-0.358638,0.505851,0.1,0.1,0.1
0.582831,-0.273537,0.774615,0.1,0.1,0.1
0.697857,-0.059470,0.397307,0.1,0.1,0.1
0.631332,-0.624821,0.784615,0.1,0.1,0.1
0.374679,0.006412,0.012565,0.1,0.1,0.1
0.361162,0.115319,0.290393,0.1,0.1,0.1
0.220084,-0.338810,0.217943,0.1,0.1,0.1
0.630920,-0.062093,0.017388,0.1,0.1,0.1
0.996038,0.216434,0.545250,0.1,0.1,0.1
0.745425,0.437599,0.097062,0.1,0.1,0.1
0.599179,-0.461182,0.387307,0.1,0.1,0.1
0.722870,0.459921,0.535075,0.1,0.1,0.1
0.493792,-0.088195,0.014000,0.1,0.1,0.1
0.722228,0.207148,0.401307,0.1,0.1,0.1
1.010561,0.393358,0.575870,0.1,0.1,0.1
0.829474,-0.367870,0.628642,0.1,0.1,0.1
0.896647,-0.116613,0.422329,0.1,0.1,0.1
0.508572,-0.277206,0.695449,0.1,0.1,0.1
0.936561,0.402791,0.191494,0.1,0.1,0.1
0.925687,-0.046708,0.095888,0.1,0.1,0.1
0.879736,0.058683,0.000000,0.1,0.1,0.1
0.716131,0.328027,0.113690,0.1,0.1,0.1
0.798918,-0.379779,0.629027,0.1,0.1,0.1
0.557731,-0.093331,0.690830,0.1,0.1,0.1
0.305247,-0.527833,0.097557,0.1,0.1,0.1
0.674995,0.298882,0.014000,0.1,0.1,0.1
0.600703,-0.064366,0.068713,0.1,0.1,0.1
0.637901,-0.265902,0.401307,0.1,0.1,0.1
0.754802,-0.400761,0.397307,0.1,0.1,0.1
0.998713,0.386175,0.704673,0.1,0.1,0.1
0.492202,-0.412002,0.575071,0.1,0.1,0.1
0.590593,-0.141540,0.384189,0.1,0.1,0.1
1.036126,0.386523,0.056046,0.1,0.1,0.1
0.496207,0.516379,0.205739,0.1,0.1,0.1
0.812431,0.290027,0.774615,0.1,0.1,0.1
0.508436,-0.471117,0.784615,0.1,0.1,0.1
0.569209,-0.237014,0.133018,0.1,0.1,0.1
0.799151,-0.371065,0.387307,0.1,0.1,0.1
0.824212,0.184822,0.774615,0.1,0.1,0.1
0.484461,-0.579886,0.731400,0.1,0.1,0.1
0.798894,-0.308751,0.387307,0.1,0.1,0.1
0.972785,0.366781,0.397307,0.1,0.1,0.1
0.597187,-0.393170,0.774615,0.1,0.1,0.1
0.268299,-0.232031,0.383196,0.1,0.1,0.1
0.649114,0.380173,0.014000,0.1,0.1,0.1
0.237365,-0.347737,0.073528,0.1,0.1,0.1
0.248631,-0.305596,0.268681,0.1,0.1,0.1
0.756486,0.126979,0.784615,0.1,0.1,0.1
0.765143,-0.213093,0.387307,0.1,0.1,0.1
0.976361,0.361944,0.397307,0.1,0.1,0.1
0.627493,0.094046,0.483669,0.1,0.1,0.1
0.720940,0.443578,0.646280,0.1,0.1,0.1
0.888503,-0.060181,0.403952,0.1,0.1,0.1
0.994175,0.350566,0.513161,0.1,0.1,0.1
0.951421,0.049548,0.112579,0.1,0.1,0.1
0.515884,-0.031339,0.056401,0.1,0.1,0.1
0.799340,0.063823,0.397307,0.1,0.1,0.1
0.487941,0.409397,0.010000,0.1,0.1,0.1
0.952573,0.398510,0.732095,0.1,0.1,0.1
0.417917,-0.005148,0.292255,0.1,0.1,0.1
0.543570,-0.219862,0.511936,0.1,0.1,0.1
0.611798,-0.056981,0.011230,0.1,0.1,0.1
0.553789,-0.037332,0.047704,0.1,0.1,0.1
0.359530,-0.116883,0.014000,0.1,0.1,0.1
0.736615,-0.628306,0.736894,0.1,0.1,0.1
0.961386,0.125538,0.559734,0.1,0.1,0.1
0.644733,-0.622013,0.774615,0.1,0.1,0.1
0.980286,0.157515,0.179848,0.1,0.1,0.1
0.662463,0.476071,0.210081,0.1,0.1,0.1
0.737118,-0.131177,0.000000,0.1,0.1,0.1
0.665929,-0.001883,0.397307,0.1,0.1,0.1
0.960397,0.208734,0.763497,0.1,0.1,0.1
0.552365,-0.186966,0.577075,0.1,0.1,0.1
0.759709,-0.653474,0.274088,0.1,0.1,0.1
0.777835,0.334459,0.774615,0.1,0.1,0.1
0.857886,-0.300313,0.773378,0.1,0.1,0.1
0.902534,0.396450,0.774615,0.1,0.1,0.1
0.351159,0.077902,0.118885,0.1,0.1,0.1
0.584397,-0.067152,0.593347,0.1,0.1,0.1
0.776731,-0.111427,0.147575,0.1,0.1,0.1
0.701931,-0.019200,0.397307,0.1,0.1,0.1
0.936196,0.031315,0.769619,0.1,0.1,0.1
0.338926,-0.536837,0.356707,0.1,0.1,0.1
0.890907,0.425348,0.133536,0.1,0.1,0.1
0.603798,0.078981,0.611408,0.1,0.1,0.1
0.918065,-0.036502,0.633184,0.1,0.1,0.1
0.475292,-0.401687,0.702142,0.1,0.1,0.1
0.968146,0.394347,0.121875,0.1,0.1,0.1
0.729923,-0.374726,0.397307,0.1,0.1,0.1
0.977204,0.199687,0.397307,0.1,0.1,0.1
0.570255,0.496582,0.031398,0.1,0.1,0.1
0.384071,-0.548907,0.074549,0.1,0.1,0.1
0.464996,-0.574682,0.599102,0.1,0.1,0.1
0.636213,0.029099,0.206074,0.1,0.1,0.1
0.941306,0.011713,0.772362,0.1,0.1,0.1
0.509907,-0.345775,0.483300,0.1,0.1,0.1
0.607658,0.019855,0.458433,0.1,0.1,0.1
0.528769,-0.049275,0.254008,0.1,0.1,0.1
0.734122,0.467264,0.722373,0.1,0.1,0.1
0.493689,-0.025405,0.316478,0.1,0.1,0.1
0.881911,-0.084840,0.427019,0.1,0.1,0.1
0.952996,0.196539,0.736019,0.1,0.1,0.1
0.768622,-0.394823,0.387307,0.1,0.1,0.1
0.634854,0.121578,0.750665,0.1,0.1,0.1
0.621489,-0.354036,0.387307,0.1,0.1,0.1
0.717750,0.431648,0.427176,0.1,0.1,0.1
0.684928,0.308876,0.465830,0.1,0.1,0.1
0.517190,-0.588636,0.440811,0.1,0.1,0.1
0.184642,-0.471377,0.241633,0.1,0.1,0.1
0.493951,0.516982,0.015027,0.1,0.1,0.1
0.241906,-0.515040,0.063068,0.1,0.1,0.1
0.567637,-0.611684,0.000000,0.1,0.1,0.1
0.667421,-0.518840,0.000000,0.1,0.1,0.1
0.965442,0.395070,0.319241,0.1,0.1,0.1
1.028444,0.337644,0.029010,0.1,0.1,0.1
0.527732,-0.279101,0.668595,0.1,0.1,0.1
0.379681,0.005075,0.340537,0.1,0.1,0.1
0.873820,0.419565,0.428041,0.1,0.1,0.1
0.351638,0.153261,0.077428,0.1,0.1,0.1
0.593098,-0.034605,0.588377,0.1,0.1,0.1
0.246056,-0.387703,0.014000,0.1,0.1,0.1
