center_x,center_y,center_z,half_length_x,half_length_y,half_length_z
1.207425,-0.636282,0.497874,0.1,0.1,0.1
1.088826,-0.640111,0.664041,0.1,0.1,0.1
1.053728,-0.056361,0.512297,0.1,0.1,0.1
1.031593,-0.517459,0.185072,0.1,0.1,0.1
0.974420,0.126683,0.185072,0.1,0.1,0.1
0.546295,0.624953,0.431319,0.1,0.1,0.1
0.989108,0.291239,0.512297,0.1,0.1,0.1
0.875680,0.336356,0.664041,0.1,0.1,0.1
0.921938,-0.184020,0.683724,0.1,0.1,0.1
1.109449,-0.038606,0.524694,0.1,0.1,0.1
1.218391,-0.551399,0.116923,0.1,0.1,0.1
0.630285,0.067046,0.204755,0.1,0.1,0.1
1.219544,-0.441099,0.207177,0.1,0.1,0.1
1.065775,-0.143437,0.185072,0.1,0.1,0.1
1.034383,0.644413,0.660207,0.1,0.1,0.1
0.975120,-0.675907,0.257699,0.1,0.1,0.1
0.918136,0.688379,0.316642,0.1,0.1,0.1
1.171162,-0.274517,0.374775,0.1,0.1,0.1
0.912417,0.280294,0.664041,0.1,0.1,0.1
0.554022,0.626271,0.571737,0.1,0.1,0.1
0.947417,-0.606562,0.204755,0.1,0.1,0.1
0.856629,0.284824,0.512297,0.1,0.1,0.1
1.164345,-0.117491,0.520127,0.1,0.1,0.1
1.011121,-0.042142,0.683724,0.1,0.1,0.1
0.907608,-0.073035,0.325023,0.1,0.1,0.1
1.158983,-0.664512,0.303138,0.1,0.1,0.1
1.010607,0.042121,0.683724,0.1,0.1,0.1
0.781619,0.154778,0.204755,0.1,0.1,0.1
0.731764,-0.548847,0.204755,0.1,0.1,0.1
1.166088,-0.593023,0.512297,0.1,0.1,0.1
0.718443,0.634349,0.366404,0.1,0.1,0.1
0.790553,0.175584,0.664041,0.1,0.1,0.1
1.031292,-0.411620,0.683724,0.1,0.1,0.1
0.749838,0.565507,0.512297,0.1,0.1,0.1
0.574418,0.251927,0.198261,0.1,0.1,0.1
1.052660,0.537262,0.001677,0.1,0.1,0.1
1.076564,-0.528221,0.512297,0.1,0.1,0.1
0.716216,0.145213,0.683724,0.1,0.1,0.1
0.914653,-0.678433,0.185072,0.1,0.1,0.1
1.162970,-0.226492,0.617410,0.1,0.1,0.1
0.551883,0.620678,0.683724,0.1,0.1,0.1
0.889715,0.434116,0.664041,0.1,0.1,0.1
1.179310,-0.499118,0.512297,0.1,0.1,0.1
0.988436,-0.536393,0.512297,0.1,0.1,0.1
1.191181,-0.274820,0.230409,0.1,0.1,0.1
0.897065,-0.709189,0.621489,0.1,0.1,0.1
0.682538,0.490739,0.512297,0.1,0.1,0.1
0.710405,-0.177749,0.683724,0.1,0.1,0.1
0.767823,-0.374208,0.204755,0.1,0.1,0.1
1.007751,-0.670341,0.326988,0.1,0.1,0.1
1.037915,0.623709,0.264507,0.1,0.1,0.1
0.748993,-0.100091,0.552233,0.1,0.1,0.1
0.963394,-0.574537,0.185072,0.1,0.1,0.1
1.041996,0.599780,0.630579,0.1,0.1,0.1
0.870552,-0.203059,0.185072,0.1,0.1,0.1
0.746718,-0.492710,0.512297,0.1,0.1,0.1
0.690648,-0.110043,0.454981,0.1,0.1,0.1
0.705197,0.568325,0.683724,0.1,0.1,0.1
0.904581,-0.594760,0.204755,0.1,0.1,0.1
0.716413,0.464638,0.185072,0.1,0.1,0.1
1.122391,-0.291866,0.185072,0.1,0.1,0.1
1.064158,0.469859,0.446474,0.1,0.1,0.1
0.939851,0.281294,0.512297,0.1,0.1,0.1
1.162042,-0.390111,0.512297,0.1,0.1,0.1
1.204421,-0.352439,0.051460,0.1,0.1,0.1
0.566340,0.524908,0.664041,0.1,0.1,0.1
0.880631,-0.692024,0.577460,0.1,0.1,0.1
0.952271,-0.289762,0.683724,0.1,0.1,0.1
0.834971,-0.699813,0.250777,0.1,0.1,0.1
0.659403,0.296399,0.512297,0.1,0.1,0.1
1.187376,-0.252515,0.050970,0.1,0.1,0.1
0.625092,0.399767,0.512297,0.1,0.1,0.1
1.021402,-0.687980,0.547845,0.1,0.1,0.1
0.721532,-0.557237,0.185072,0.1,0.1,0.1
0.595885,0.200647,0.664041,0.1,0.1,0.1
0.932023,-0.140972,0.512297,0.1,0.1,0.1
1.086780,0.337233,0.528886,0.1,0.1,0.1
0.782304,0.645242,0.457913,0.1,0.1,0.1
1.030131,0.552283,0.105666,0.1,0.1,0.1
0.590229,0.252295,0.683724,0.1,0.1,0.1
1.140739,0.020899,0.549622,0.1,0.1,0.1
0.807930,-0.090038,0.275421,0.1,0.1,0.1
0.860751,0.205496,0.512297,0.1,0.1,0.1
1.065229,-0.053919,0.512297,0.1,0.1,0.1
1.058427,-0.164803,0.185072,0.1,0.1,0.1
1.063610,0.473067,0.175889,0.1,0.1,0.1
0.982220,-0.060308,0.520934,0.1,0.1,0.1
1.241682,-0.570885,0.079337,0.1,0.1,0.1
0.994957,-0.635033,0.512297,0.1,0.1,0.1
1.098817,-0.199155,0.185072,0.1,0.1,0.1
0.836739,-0.085124,0.449425,0.1,0.1,0.1
1.005766,-0.510562,0.512297,0.1,0.1,0.1
0.747539,-0.734694,0.457297,0.1,0.1,0.1
0.716025,0.060153,0.683724,0.1,0.1,0.1
1.143952,-0.268325,0.204755,0.1,0.1,0.1
0.781426,0.049463,0.664041,0.1,0.1,0.1
0.868602,0.075339,0.185072,0.1,0.1,0.1
0.732340,-0.237521,0.664041,0.1,0.1,0.1
0.887482,-0.607241,0.512297,0.1,0.1,0.1
1.039796,-0.609653,0.512297,0.1,0.1,0.1
1.076775,-0.471763,0.683724,0.1,0.1,0.1
1.226207,-0.480162,0.192440,0.1,0.1,0.1
1.128317,-0.023340,0.026315,0.1,0.1,0.1
0.776760,0.008989,0.683724,0.1,0.1,0.1
1.075921,-0.658713,0.411807,0.1,0.1,0.1
0.669550,0.626009,0.352429,0.1,0.1,0.1
0.702882,-0.501196,0.664925,0.1,0.1,0.1
1.016920,0.629729,0.087302,0.1,0.1,0.1
0.728408,-0.103602,0.469050,0.1,0.1,0.1
0.641674,0.551349,0.512297,0.1,0.1,0.1
0.608999,0.263723,0.512297,0.1,0.1,0.1
1.186641,-0.589097,0.512297,0.1,0.1,0.1
1.129890,0.084502,0.318318,0.1,0.1,0.1
0.658011,0.606543,0.683724,0.1,0.1,0.1
1.148219,-0.022956,0.081976,0.1,0.1,0.1
1.057810,0.507069,0.598274,0.1,0.1,0.1
0.841821,-0.463957,0.683724,0.1,0.1,0.1
0.713327,-0.106175,0.448168,0.1,0.1,0.1
1.158604,-0.200894,0.130755,0.1,0.1,0.1
1.223104,-0.579029,0.293884,0.1,0.1,0.1
1.124444,0.116427,0.020654,0.1,0.1,0.1
0.826894,0.405198,0.683724,0.1,0.1,0.1
0.918535,0.301474,0.512297,0.1,0.1,0.1
