pos,joint,obb_center_x,obb_center_y,obb_center_z,obb_axis_x1,obb_axis_y1,obb_axis_z1,obb_axis_x2,obb_axis_y2,obb_axis_z2,obb_axis_x3,obb_axis_y3,obb_axis_z3,obb_half_length_x,obb_half_length_y,obb_half_length_z
0,0,-0.0408,-0.0079,0.0700,0.9813,0.1926,-0.0000,-0.1926,0.9813,0.0000,0.0000,-0.0000,1.0000,0.2577,0.2263,0.1400
0,1,0.0290,-0.0190,0.2576,-0.2463,0.1608,-0.9558,-0.8001,0.5228,0.2941,-0.5469,-0.8372,0.0001,0.1100,0.2168,0.3052
0,2,-0.0027,0.0588,0.3926,-0.5730,-0.3396,-0.7458,-0.6997,0.6766,0.2295,-0.4267,-0.6533,0.6254,0.1101,0.3070,0.2173
0,3,0.1301,0.1209,0.5468,0.7448,-0.0669,0.6639,0.1652,-0.9455,-0.2807,-0.6465,-0.3187,0.6932,0.2836,0.2073,0.2889
0,4,0.1434,0.0370,0.6492,0.5558,-0.8294,0.0553,-0.4845,-0.3773,-0.7892,-0.6755,-0.4119,0.6116,0.2820,0.2947,0.2062
0,5,0.2172,-0.1787,0.5591,0.2030,-0.8628,-0.4630,-0.8265,-0.4045,0.3914,0.5250,-0.3033,0.7952,0.1112,0.2100,0.3614
0,6,0.1913,-0.3214,0.5704,0.5226,-0.8377,0.1585,-0.3918,-0.4011,-0.8280,0.7572,0.3706,-0.5378,0.1972,0.1336,0.1265
0,7,0.1933,-0.3960,0.4914,0.8564,0.1629,-0.4900,0.3321,-0.9004,0.2810,-0.3954,-0.4034,-0.8252,0.1624,0.1625,0.0548
0,8,0.1596,-0.4223,0.4620,0.8557,0.1643,-0.4907,0.3030,0.6096,0.7325,0.4195,-0.7755,0.4718,0.0831,0.2046,0.1050
0,9,0.1018,-0.4506,0.4251,0.3338,0.3910,0.8577,-0.8817,-0.1923,0.4308,-0.3334,0.9001,-0.2806,0.0210,0.0279,0.0569
0,10,0.1663,-0.4382,0.3881,0.4550,0.4138,0.7885,0.8258,0.1352,-0.5475,0.3332,-0.9003,0.2802,0.0210,0.0279,0.0569
1,0,-0.0408,-0.0079,0.0700,0.9813,0.1926,-0.0000,-0.1926,0.9813,0.0000,0.0000,-0.0000,1.0000,0.2577,0.2263,0.1400
1,1,0.0290,-0.0190,0.2576,-0.2463,0.1608,-0.9558,-0.8002,0.5227,0.2941,-0.5469,-0.8372,0.0001,0.1100,0.2168,0.3052
1,2,-0.0027,0.0588,0.3926,-0.5731,-0.3398,-0.7458,-0.6997,0.6766,0.2294,-0.4266,-0.6533,0.6255,0.1101,0.3070,0.2173
1,3,0.1301,0.1209,0.5468,0.7447,-0.0670,0.6640,0.1649,-0.9456,-0.2804,-0.6467,-0.3183,0.6931,0.2836,0.2073,0.2889
1,4,0.1433,0.0371,0.6492,0.5558,-0.8294,0.0561,-0.4843,-0.3779,-0.7891,-0.6757,-0.4114,0.6117,0.2820,0.2947,0.2062
1,5,0.2172,-0.1787,0.5594,0.2031,-0.8632,-0.4623,-0.8268,-0.4041,0.3913,0.5246,-0.3027,0.7957,0.1112,0.2100,0.3614
1,6,0.1912,-0.3214,0.5708,0.5222,-0.8378,0.1591,-0.3916,-0.4013,-0.8280,0.7576,0.3701,-0.5377,0.1972,0.1336,0.1265
1,7,0.1933,-0.3961,0.4917,0.8565,0.1627,-0.4898,0.3320,-0.9003,0.2814,-0.3952,-0.4037,-0.8252,0.1624,0.1625,0.0548
1,8,0.1596,-0.4223,0.4624,0.8558,0.1641,-0.4905,0.3028,0.6098,0.7324,0.4193,-0.7754,0.4722,0.0831,0.2046,0.1050
1,9,0.1018,-0.4506,0.4254,0.3336,0.3913,0.8577,-0.8819,-0.1921,0.4306,-0.3332,0.9000,-0.2810,0.0210,0.0279,0.0569
1,10,0.1662,-0.4383,0.3885,0.4548,0.4140,0.7885,0.8260,0.1350,-0.5473,0.3330,-0.9002,0.2806,0.0210,0.0279,0.0569
