center_x,center_y,center_z,half_length_x,half_length_y,half_length_z
1.191244,-0.221873,0.348430,0.1,0.1,0.1
0.944414,-0.868891,0.348430,0.1,0.1,0.1
0.890688,-0.669734,0.424688,0.1,0.1,0.1
0.521039,-0.182113,0.348430,0.1,0.1,0.1
1.329923,-0.878316,0.134134,0.1,0.1,0.1
0.915268,-0.957980,0.268922,0.1,0.1,0.1
0.630947,0.626354,-0.020000,0.1,0.1,0.1
0.402926,-0.122795,0.454463,0.1,0.1,0.1
0.435997,1.364688,0.348430,0.1,0.1,0.1
0.929856,-0.767521,0.360012,0.1,0.1,0.1
0.953784,-0.168181,0.410650,0.1,0.1,0.1
1.304901,0.506427,0.271068,0.1,0.1,0.1
0.889901,-0.233832,0.415926,0.1,0.1,0.1
-0.136785,0.254946,-0.020000,0.1,0.1,0.1
0.285792,-0.609629,0.093325,0.1,0.1,0.1
0.021721,-0.555993,0.276414,0.1,0.1,0.1
0.386934,-0.116031,0.473671,0.1,0.1,0.1
0.862658,-0.308359,0.348430,0.1,0.1,0.1
1.250082,0.506427,0.195082,0.1,0.1,0.1
0.511472,1.634964,0.244018,0.1,0.1,0.1
0.851823,-0.895362,0.390368,0.1,0.1,0.1
0.021721,-0.538794,0.071101,0.1,0.1,0.1
0.683641,0.081773,0.425240,0.1,0.1,0.1
0.639801,0.047010,0.514361,0.1,0.1,0.1
-0.073303,-0.611052,0.348430,0.1,0.1,0.1
0.541633,-0.197496,0.375036,0.1,0.1,0.1
1.329923,1.051335,0.152182,0.1,0.1,0.1
0.414632,0.116284,-0.020000,0.1,0.1,0.1
1.329923,-0.122424,0.132336,0.1,0.1,0.1
0.662453,1.254369,0.348430,0.1,0.1,0.1
-0.022707,-0.957980,0.169390,0.1,0.1,0.1
0.320390,-0.149092,0.370661,0.1,0.1,0.1
-0.052691,-0.558399,-0.020000,0.1,0.1,0.1
0.640496,1.504982,-0.020000,0.1,0.1,0.1
0.929472,0.374835,-0.020000,0.1,0.1,0.1
0.436830,0.490284,-0.020000,0.1,0.1,0.1
0.888384,0.498150,0.348430,0.1,0.1,0.1
1.236332,-0.815473,0.401174,0.1,0.1,0.1
0.702148,0.051692,0.434706,0.1,0.1,0.1
0.533397,1.404770,-0.020000,0.1,0.1,0.1
0.424552,1.382314,0.348430,0.1,0.1,0.1
0.307338,0.745253,-0.020000,0.1,0.1,0.1
0.930825,0.260619,0.348430,0.1,0.1,0.1
1.198760,0.028753,0.496982,0.1,0.1,0.1
1.283203,0.568069,-0.020000,0.1,0.1,0.1
0.924267,-0.667543,0.562020,0.1,0.1,0.1
0.649271,-0.039031,0.353035,0.1,0.1,0.1
0.954937,-0.665541,0.462418,0.1,0.1,0.1
0.993000,-0.831098,0.383586,0.1,0.1,0.1
0.930245,-0.767850,0.426337,0.1,0.1,0.1
0.622773,-0.039752,0.405226,0.1,0.1,0.1
0.597797,-0.282237,-0.020000,0.1,0.1,0.1
1.112691,1.144185,0.348430,0.1,0.1,0.1
1.216860,0.047942,0.413990,0.1,0.1,0.1
0.492291,0.223045,-0.020000,0.1,0.1,0.1
0.108432,-0.419890,-0.020000,0.1,0.1,0.1
1.329923,0.441415,0.061237,0.1,0.1,0.1
0.906815,-0.610553,0.370006,0.1,0.1,0.1
0.344802,0.060144,-0.020000,0.1,0.1,0.1
0.715385,0.877762,0.348430,0.1,0.1,0.1
0.957940,-0.642724,0.512297,0.1,0.1,0.1
0.995829,-0.251020,0.348430,0.1,0.1,0.1
0.285792,-0.875626,0.279253,0.1,0.1,0.1
0.543804,0.174139,0.576068,0.1,0.1,0.1
0.950389,-0.193440,-0.020000,0.1,0.1,0.1
1.057577,0.279044,0.676666,0.1,0.1,0.1
0.092258,-0.899303,0.592017,0.1,0.1,0.1
0.278110,-0.287647,-0.010176,0.1,0.1,0.1
1.047158,0.210289,0.622012,0.1,0.1,0.1
0.021721,-0.383944,0.327897,0.1,0.1,0.1
0.641209,-0.822984,-0.020000,0.1,0.1,0.1
0.588649,-0.024262,0.417441,0.1,0.1,0.1
0.285792,-0.667769,0.043254,0.1,0.1,0.1
0.021721,-0.614218,0.222817,0.1,0.1,0.1
0.215771,-0.957980,0.145885,0.1,0.1,0.1
0.807955,0.281354,0.348430,0.1,0.1,0.1
1.262465,1.506830,0.348430,0.1,0.1,0.1
0.116702,-0.957980,0.140990,0.1,0.1,0.1
0.214382,-0.391876,-0.020000,0.1,0.1,0.1
0.671636,1.352400,-0.020000,0.1,0.1,0.1
0.369019,-0.277697,0.348430,0.1,0.1,0.1
1.070763,0.253959,0.451235,0.1,0.1,0.1
0.697648,0.018375,-0.020000,0.1,0.1,0.1
0.555379,-0.129511,0.348430,0.1,0.1,0.1
1.259205,1.174579,0.348430,0.1,0.1,0.1
0.876305,-0.916012,0.380077,0.1,0.1,0.1
1.329923,-0.242294,0.189916,0.1,0.1,0.1
0.230668,-0.386673,0.348430,0.1,0.1,0.1
1.217405,-0.819009,0.348430,0.1,0.1,0.1
-0.252012,0.240972,-0.020000,0.1,0.1,0.1
0.021721,-0.396374,0.265839,0.1,0.1,0.1
0.918566,-0.919348,0.471814,0.1,0.1,0.1
1.058928,0.506427,0.304738,0.1,0.1,0.1
0.157034,-0.032409,-0.020000,0.1,0.1,0.1
0.448132,-0.638956,-0.020000,0.1,0.1,0.1
0.276790,-0.618708,-0.020000,0.1,0.1,0.1
0.329841,-0.208808,0.461406,0.1,0.1,0.1
